,index,latlngtime,areacode,tggl,weather
10000,10000,"33.817085,-117.352568,2014-05-15T12:00:00",6,15/5/2014,Dry throughout the day.
10001,10001,"33.817085,-117.352568,2014-05-16T12:00:00",6,16/5/2014,Dry throughout the day.
10002,10002,"33.817085,-117.352568,2014-05-17T12:00:00",6,17/5/2014,Clear throughout the day.
10003,10003,"33.817085,-117.352568,2014-05-18T12:00:00",6,18/5/2014,Clear throughout the day.
10004,10004,"33.817085,-117.352568,2014-05-19T12:00:00",6,19/5/2014,Clear throughout the day.
10005,10005,"33.817085,-117.352568,2014-05-20T12:00:00",6,20/5/2014,Partly cloudy until afternoon.
10006,10006,"33.817085,-117.352568,2014-05-21T12:00:00",6,21/5/2014,Partly cloudy in the morning.
10007,10007,"33.817085,-117.352568,2014-05-22T12:00:00",6,22/5/2014,Clear throughout the day.
10008,10008,"33.817085,-117.352568,2014-05-23T12:00:00",6,23/5/2014,Light rain in the evening.
10009,10009,"33.817085,-117.352568,2014-05-24T12:00:00",6,24/5/2014,Clear throughout the day.
10010,10010,"33.817085,-117.352568,2014-05-25T12:00:00",6,25/5/2014,Clear throughout the day.
10011,10011,"33.817085,-117.352568,2014-05-26T12:00:00",6,26/5/2014,Clear throughout the day.
10012,10012,"33.817085,-117.352568,2014-05-27T12:00:00",6,27/5/2014,Partly cloudy in the morning.
10013,10013,"33.817085,-117.352568,2014-05-28T12:00:00",6,28/5/2014,Clear throughout the day.
10014,10014,"33.817085,-117.352568,2014-05-29T12:00:00",6,29/5/2014,Partly cloudy in the morning.
10015,10015,"33.817085,-117.352568,2014-05-30T12:00:00",6,30/5/2014,Clear throughout the day.
10016,10016,"33.817085,-117.352568,2014-05-31T12:00:00",6,31/5/2014,Clear throughout the day.
10017,10017,"33.817085,-117.352568,2014-06-01T12:00:00",6,1/6/2014,Dry throughout the day.
10018,10018,"33.817085,-117.352568,2014-06-02T12:00:00",6,2/6/2014,Clear throughout the day.
10019,10019,"33.817085,-117.352568,2014-06-03T12:00:00",6,3/6/2014,Clear throughout the day.
10020,10020,"33.817085,-117.352568,2014-06-04T12:00:00",6,4/6/2014,Partly cloudy in the afternoon.
10021,10021,"33.817085,-117.352568,2014-06-05T12:00:00",6,5/6/2014,Clear throughout the day.
10022,10022,"33.817085,-117.352568,2014-06-06T12:00:00",6,6/6/2014,Clear throughout the day.
10023,10023,"33.817085,-117.352568,2014-06-07T12:00:00",6,7/6/2014,Clear throughout the day.
10024,10024,"33.817085,-117.352568,2014-06-08T12:00:00",6,8/6/2014,Clear throughout the day.
10025,10025,"33.817085,-117.352568,2014-06-09T12:00:00",6,9/6/2014,Clear throughout the day.
10026,10026,"33.817085,-117.352568,2014-06-10T12:00:00",6,10/6/2014,Clear throughout the day.
10027,10027,"33.817085,-117.352568,2014-06-11T12:00:00",6,11/6/2014,Clear throughout the day.
10028,10028,"33.817085,-117.352568,2014-06-12T12:00:00",6,12/6/2014,Clear throughout the day.
10029,10029,"33.817085,-117.352568,2014-06-13T12:00:00",6,13/6/2014,Clear throughout the day.
10030,10030,"33.817085,-117.352568,2014-06-14T12:00:00",6,14/6/2014,Partly cloudy in the morning.
10031,10031,"33.817085,-117.352568,2014-06-15T12:00:00",6,15/6/2014,Partly cloudy in the morning.
10032,10032,"33.817085,-117.352568,2014-06-16T12:00:00",6,16/6/2014,Partly cloudy in the morning.
10033,10033,"33.817085,-117.352568,2014-06-17T12:00:00",6,17/6/2014,Clear throughout the day.
10034,10034,"33.817085,-117.352568,2014-06-18T12:00:00",6,18/6/2014,Partly cloudy in the morning.
10035,10035,"33.817085,-117.352568,2014-06-19T12:00:00",6,19/6/2014,Clear throughout the day.
10036,10036,"33.817085,-117.352568,2014-06-20T12:00:00",6,20/6/2014,Clear throughout the day.
10037,10037,"33.817085,-117.352568,2014-06-21T12:00:00",6,21/6/2014,Clear throughout the day.
10038,10038,"33.817085,-117.352568,2014-06-22T12:00:00",6,22/6/2014,Clear throughout the day.
10039,10039,"33.817085,-117.352568,2014-06-23T12:00:00",6,23/6/2014,Clear throughout the day.
10040,10040,"33.817085,-117.352568,2014-06-24T12:00:00",6,24/6/2014,Clear throughout the day.
10041,10041,"33.817085,-117.352568,2014-06-25T12:00:00",6,25/6/2014,Clear throughout the day.
10042,10042,"33.817085,-117.352568,2014-06-26T12:00:00",6,26/6/2014,Clear throughout the day.
10043,10043,"33.817085,-117.352568,2014-06-27T12:00:00",6,27/6/2014,Clear throughout the day.
10044,10044,"33.817085,-117.352568,2014-06-28T12:00:00",6,28/6/2014,Partly cloudy in the morning.
10045,10045,"33.817085,-117.352568,2014-06-29T12:00:00",6,29/6/2014,Clear throughout the day.
10046,10046,"33.817085,-117.352568,2014-06-30T12:00:00",6,30/6/2014,Clear throughout the day.
10047,10047,"33.817085,-117.352568,2014-07-01T12:00:00",6,1/7/2014,Clear throughout the day.
10048,10048,"33.817085,-117.352568,2014-07-02T12:00:00",6,2/7/2014,Clear throughout the day.
10049,10049,"33.817085,-117.352568,2014-07-03T12:00:00",6,3/7/2014,Clear throughout the day.
10050,10050,"33.817085,-117.352568,2014-07-04T12:00:00",6,4/7/2014,Clear throughout the day.
10051,10051,"33.817085,-117.352568,2014-07-05T12:00:00",6,5/7/2014,Clear throughout the day.
10052,10052,"33.817085,-117.352568,2014-07-06T12:00:00",6,6/7/2014,Partly cloudy in the morning.
10053,10053,"33.817085,-117.352568,2014-07-07T12:00:00",6,7/7/2014,Clear throughout the day.
