,0
2227,"33.81495,-117.410128,2013-02-04T12:00:00"
2228,"33.81495,-117.410128,2013-02-05T12:00:00"
2229,"33.81495,-117.410128,2013-02-06T12:00:00"
2230,"33.81495,-117.410128,2013-02-07T12:00:00"
2231,"33.81495,-117.410128,2013-02-08T12:00:00"
2232,"33.81495,-117.410128,2013-02-09T12:00:00"
2233,"33.81495,-117.410128,2013-02-10T12:00:00"
2234,"33.81495,-117.410128,2013-02-11T12:00:00"
2235,"33.81495,-117.410128,2013-02-12T12:00:00"
2236,"33.81495,-117.410128,2013-02-13T12:00:00"
2237,"33.81495,-117.410128,2013-02-14T12:00:00"
2238,"33.81495,-117.410128,2013-02-15T12:00:00"
2239,"33.81495,-117.410128,2013-02-16T12:00:00"
2240,"33.81495,-117.410128,2013-02-17T12:00:00"
2241,"33.81495,-117.410128,2013-02-18T12:00:00"
2242,"33.81495,-117.410128,2013-02-19T12:00:00"
2243,"33.81495,-117.410128,2013-02-20T12:00:00"
2244,"33.81495,-117.410128,2013-02-21T12:00:00"
2245,"33.81495,-117.410128,2013-02-22T12:00:00"
2246,"33.81495,-117.410128,2013-02-23T12:00:00"
2247,"33.81495,-117.410128,2013-02-24T12:00:00"
2248,"33.81495,-117.410128,2013-02-25T12:00:00"
2249,"33.81495,-117.410128,2013-02-26T12:00:00"
2250,"33.81495,-117.410128,2013-02-27T12:00:00"
2251,"33.81495,-117.410128,2013-02-28T12:00:00"
2252,"33.81495,-117.410128,2013-03-01T12:00:00"
2253,"33.81495,-117.410128,2013-03-02T12:00:00"
2254,"33.81495,-117.410128,2013-03-03T12:00:00"
2255,"33.81495,-117.410128,2013-03-04T12:00:00"
2256,"33.81495,-117.410128,2013-03-05T12:00:00"
2257,"33.81495,-117.410128,2013-03-06T12:00:00"
2258,"33.81495,-117.410128,2013-03-07T12:00:00"
2259,"33.81495,-117.410128,2013-03-08T12:00:00"
2260,"33.81495,-117.410128,2013-03-09T12:00:00"
2261,"33.81495,-117.410128,2013-03-10T12:00:00"
2262,"33.81495,-117.410128,2013-03-11T12:00:00"
2263,"33.81495,-117.410128,2013-03-12T12:00:00"
2264,"33.81495,-117.410128,2013-03-13T12:00:00"
2265,"33.81495,-117.410128,2013-03-14T12:00:00"
2266,"33.81495,-117.410128,2013-03-15T12:00:00"
2267,"33.81495,-117.410128,2013-03-16T12:00:00"
2268,"33.81495,-117.410128,2013-03-17T12:00:00"
2269,"33.81495,-117.410128,2013-03-18T12:00:00"
2270,"33.81495,-117.410128,2013-03-19T12:00:00"
2271,"33.81495,-117.410128,2013-03-20T12:00:00"
2272,"33.81495,-117.410128,2013-03-21T12:00:00"
2273,"33.81495,-117.410128,2013-03-22T12:00:00"
2274,"33.81495,-117.410128,2013-03-23T12:00:00"
2275,"33.81495,-117.410128,2013-03-24T12:00:00"
2276,"33.81495,-117.410128,2013-03-25T12:00:00"
2277,"33.81495,-117.410128,2013-03-26T12:00:00"
2278,"33.81495,-117.410128,2013-03-27T12:00:00"
2279,"33.81495,-117.410128,2013-03-28T12:00:00"
2280,"33.81495,-117.410128,2013-03-29T12:00:00"
2281,"33.81495,-117.410128,2013-03-30T12:00:00"
2282,"33.81495,-117.410128,2013-03-31T12:00:00"
2283,"33.81495,-117.410128,2013-04-01T12:00:00"
2284,"33.81495,-117.410128,2013-04-02T12:00:00"
2285,"33.81495,-117.410128,2013-04-03T12:00:00"
2286,"33.81495,-117.410128,2013-04-04T12:00:00"
2287,"33.81495,-117.410128,2013-04-05T12:00:00"
2288,"33.81495,-117.410128,2013-04-06T12:00:00"
2289,"33.81495,-117.410128,2013-04-07T12:00:00"
2290,"33.81495,-117.410128,2013-04-08T12:00:00"
2291,"33.81495,-117.410128,2013-04-09T12:00:00"
2292,"33.81495,-117.410128,2013-04-10T12:00:00"
2293,"33.81495,-117.410128,2013-04-11T12:00:00"
2294,"33.81495,-117.410128,2013-04-12T12:00:00"
2295,"33.81495,-117.410128,2013-04-13T12:00:00"
2296,"33.81495,-117.410128,2013-04-14T12:00:00"
2297,"33.81495,-117.410128,2013-04-15T12:00:00"
2298,"33.81495,-117.410128,2013-04-16T12:00:00"
2299,"33.81495,-117.410128,2013-04-17T12:00:00"
2300,"33.81495,-117.410128,2013-04-18T12:00:00"
2301,"33.81495,-117.410128,2013-04-19T12:00:00"
2302,"33.81495,-117.410128,2013-04-20T12:00:00"
2303,"33.81495,-117.410128,2013-04-21T12:00:00"
2304,"33.81495,-117.410128,2013-04-22T12:00:00"
2305,"33.81495,-117.410128,2013-04-23T12:00:00"
2306,"33.81495,-117.410128,2013-04-24T12:00:00"
2307,"33.81495,-117.410128,2013-04-25T12:00:00"
2308,"33.81495,-117.410128,2013-04-26T12:00:00"
2309,"33.81495,-117.410128,2013-04-27T12:00:00"
2310,"33.81495,-117.410128,2013-04-28T12:00:00"
2311,"33.81495,-117.410128,2013-04-29T12:00:00"
2312,"33.81495,-117.410128,2013-04-30T12:00:00"
2313,"33.81495,-117.410128,2013-05-01T12:00:00"
2314,"33.81495,-117.410128,2013-05-02T12:00:00"
2315,"33.81495,-117.410128,2013-05-03T12:00:00"
2316,"33.81495,-117.410128,2013-05-04T12:00:00"
2317,"33.81495,-117.410128,2013-05-05T12:00:00"
2318,"33.81495,-117.410128,2013-05-06T12:00:00"
2319,"33.81495,-117.410128,2013-05-07T12:00:00"
2320,"33.81495,-117.410128,2013-05-08T12:00:00"
2321,"33.81495,-117.410128,2013-05-09T12:00:00"
2322,"33.81495,-117.410128,2013-05-10T12:00:00"
2323,"33.81495,-117.410128,2013-05-11T12:00:00"
2324,"33.81495,-117.410128,2013-05-12T12:00:00"
2325,"33.81495,-117.410128,2013-05-13T12:00:00"
2326,"33.81495,-117.410128,2013-05-14T12:00:00"
2327,"33.81495,-117.410128,2013-05-15T12:00:00"
2328,"33.81495,-117.410128,2013-05-16T12:00:00"
2329,"33.81495,-117.410128,2013-05-17T12:00:00"
2330,"33.81495,-117.410128,2013-05-18T12:00:00"
2331,"33.81495,-117.410128,2013-05-19T12:00:00"
2332,"33.81495,-117.410128,2013-05-20T12:00:00"
2333,"33.81495,-117.410128,2013-05-21T12:00:00"
2334,"33.81495,-117.410128,2013-05-22T12:00:00"
2335,"33.81495,-117.410128,2013-05-23T12:00:00"
2336,"33.81495,-117.410128,2013-05-24T12:00:00"
2337,"33.81495,-117.410128,2013-05-25T12:00:00"
2338,"33.81495,-117.410128,2013-05-26T12:00:00"
2339,"33.81495,-117.410128,2013-05-27T12:00:00"
2340,"33.81495,-117.410128,2013-05-28T12:00:00"
2341,"33.81495,-117.410128,2013-05-29T12:00:00"
2342,"33.81495,-117.410128,2013-05-30T12:00:00"
2343,"33.81495,-117.410128,2013-05-31T12:00:00"
2344,"33.81495,-117.410128,2013-06-01T12:00:00"
2345,"33.81495,-117.410128,2013-06-02T12:00:00"
2346,"33.81495,-117.410128,2013-06-03T12:00:00"
2347,"33.81495,-117.410128,2013-06-04T12:00:00"
2348,"33.81495,-117.410128,2013-06-05T12:00:00"
2349,"33.81495,-117.410128,2013-06-06T12:00:00"
2350,"33.81495,-117.410128,2013-06-07T12:00:00"
2351,"33.81495,-117.410128,2013-06-08T12:00:00"
2352,"33.81495,-117.410128,2013-06-09T12:00:00"
2353,"33.81495,-117.410128,2013-06-10T12:00:00"
2354,"33.81495,-117.410128,2013-06-11T12:00:00"
2355,"33.81495,-117.410128,2013-06-12T12:00:00"
2356,"33.81495,-117.410128,2013-06-13T12:00:00"
2357,"33.81495,-117.410128,2013-06-14T12:00:00"
2358,"33.81495,-117.410128,2013-06-15T12:00:00"
2359,"33.81495,-117.410128,2013-06-16T12:00:00"
2360,"33.81495,-117.410128,2013-06-17T12:00:00"
2361,"33.81495,-117.410128,2013-06-18T12:00:00"
2362,"33.81495,-117.410128,2013-06-19T12:00:00"
2363,"33.81495,-117.410128,2013-06-20T12:00:00"
2364,"33.81495,-117.410128,2013-06-21T12:00:00"
2365,"33.81495,-117.410128,2013-06-22T12:00:00"
2366,"33.81495,-117.410128,2013-06-23T12:00:00"
2367,"33.81495,-117.410128,2013-06-24T12:00:00"
2368,"33.81495,-117.410128,2013-06-25T12:00:00"
2369,"33.81495,-117.410128,2013-06-26T12:00:00"
2370,"33.81495,-117.410128,2013-06-27T12:00:00"
2371,"33.81495,-117.410128,2013-06-28T12:00:00"
2372,"33.81495,-117.410128,2013-06-29T12:00:00"
2373,"33.81495,-117.410128,2013-06-30T12:00:00"
2374,"33.81495,-117.410128,2013-07-01T12:00:00"
2375,"33.81495,-117.410128,2013-07-02T12:00:00"
2376,"33.81495,-117.410128,2013-07-03T12:00:00"
2377,"33.81495,-117.410128,2013-07-04T12:00:00"
2378,"33.81495,-117.410128,2013-07-05T12:00:00"
2379,"33.81495,-117.410128,2013-07-06T12:00:00"
2380,"33.81495,-117.410128,2013-07-07T12:00:00"
2381,"33.81495,-117.410128,2013-07-08T12:00:00"
2382,"33.81495,-117.410128,2013-07-09T12:00:00"
2383,"33.81495,-117.410128,2013-07-10T12:00:00"
2384,"33.81495,-117.410128,2013-07-11T12:00:00"
2385,"33.81495,-117.410128,2013-07-12T12:00:00"
2386,"33.81495,-117.410128,2013-07-13T12:00:00"
2387,"33.81495,-117.410128,2013-07-14T12:00:00"
2388,"33.81495,-117.410128,2013-07-15T12:00:00"
2389,"33.81495,-117.410128,2013-07-16T12:00:00"
2390,"33.81495,-117.410128,2013-07-17T12:00:00"
2391,"33.81495,-117.410128,2013-07-18T12:00:00"
2392,"33.81495,-117.410128,2013-07-19T12:00:00"
2393,"33.81495,-117.410128,2013-07-20T12:00:00"
2394,"33.81495,-117.410128,2013-07-21T12:00:00"
2395,"33.81495,-117.410128,2013-07-22T12:00:00"
2396,"33.81495,-117.410128,2013-07-23T12:00:00"
2397,"33.81495,-117.410128,2013-07-24T12:00:00"
2398,"33.81495,-117.410128,2013-07-25T12:00:00"
2399,"33.81495,-117.410128,2013-07-26T12:00:00"
2400,"33.81495,-117.410128,2013-07-27T12:00:00"
2401,"33.81495,-117.410128,2013-07-28T12:00:00"
2402,"33.81495,-117.410128,2013-07-29T12:00:00"
2403,"33.81495,-117.410128,2013-07-30T12:00:00"
2404,"33.81495,-117.410128,2013-07-31T12:00:00"
2405,"33.81495,-117.410128,2013-08-01T12:00:00"
2406,"33.81495,-117.410128,2013-08-02T12:00:00"
2407,"33.81495,-117.410128,2013-08-03T12:00:00"
2408,"33.81495,-117.410128,2013-08-04T12:00:00"
2409,"33.81495,-117.410128,2013-08-05T12:00:00"
2410,"33.81495,-117.410128,2013-08-06T12:00:00"
2411,"33.81495,-117.410128,2013-08-07T12:00:00"
2412,"33.81495,-117.410128,2013-08-08T12:00:00"
2413,"33.81495,-117.410128,2013-08-09T12:00:00"
2414,"33.81495,-117.410128,2013-08-10T12:00:00"
2415,"33.81495,-117.410128,2013-08-11T12:00:00"
2416,"33.81495,-117.410128,2013-08-12T12:00:00"
2417,"33.81495,-117.410128,2013-08-13T12:00:00"
2418,"33.81495,-117.410128,2013-08-14T12:00:00"
2419,"33.81495,-117.410128,2013-08-15T12:00:00"
2420,"33.81495,-117.410128,2013-08-16T12:00:00"
2421,"33.81495,-117.410128,2013-08-17T12:00:00"
2422,"33.81495,-117.410128,2013-08-18T12:00:00"
2423,"33.81495,-117.410128,2013-08-19T12:00:00"
2424,"33.81495,-117.410128,2013-08-20T12:00:00"
2425,"33.81495,-117.410128,2013-08-21T12:00:00"
2426,"33.81495,-117.410128,2013-08-22T12:00:00"
2427,"33.81495,-117.410128,2013-08-23T12:00:00"
2428,"33.81495,-117.410128,2013-08-24T12:00:00"
2429,"33.81495,-117.410128,2013-08-25T12:00:00"
2430,"33.81495,-117.410128,2013-08-26T12:00:00"
2431,"33.81495,-117.410128,2013-08-27T12:00:00"
2432,"33.81495,-117.410128,2013-08-28T12:00:00"
2433,"33.81495,-117.410128,2013-08-29T12:00:00"
2434,"33.81495,-117.410128,2013-08-30T12:00:00"
2435,"33.81495,-117.410128,2013-08-31T12:00:00"
2436,"33.81495,-117.410128,2013-09-01T12:00:00"
2437,"33.81495,-117.410128,2013-09-02T12:00:00"
2438,"33.81495,-117.410128,2013-09-03T12:00:00"
2439,"33.81495,-117.410128,2013-09-04T12:00:00"
2440,"33.81495,-117.410128,2013-09-05T12:00:00"
2441,"33.81495,-117.410128,2013-09-06T12:00:00"
2442,"33.81495,-117.410128,2013-09-07T12:00:00"
2443,"33.81495,-117.410128,2013-09-08T12:00:00"
2444,"33.81495,-117.410128,2013-09-09T12:00:00"
2445,"33.81495,-117.410128,2013-09-10T12:00:00"
2446,"33.81495,-117.410128,2013-09-11T12:00:00"
2447,"33.81495,-117.410128,2013-09-12T12:00:00"
2448,"33.81495,-117.410128,2013-09-13T12:00:00"
2449,"33.81495,-117.410128,2013-09-14T12:00:00"
2450,"33.81495,-117.410128,2013-09-15T12:00:00"
2451,"33.81495,-117.410128,2013-09-16T12:00:00"
2452,"33.81495,-117.410128,2013-09-17T12:00:00"
2453,"33.81495,-117.410128,2013-09-18T12:00:00"
2454,"33.81495,-117.410128,2013-09-19T12:00:00"
2455,"33.81495,-117.410128,2013-09-20T12:00:00"
2456,"33.81495,-117.410128,2013-09-21T12:00:00"
2457,"33.81495,-117.410128,2013-09-22T12:00:00"
2458,"33.81495,-117.410128,2013-09-23T12:00:00"
2459,"33.81495,-117.410128,2013-09-24T12:00:00"
2460,"33.81495,-117.410128,2013-09-25T12:00:00"
2461,"33.81495,-117.410128,2013-09-26T12:00:00"
2462,"33.81495,-117.410128,2013-09-27T12:00:00"
2463,"33.81495,-117.410128,2013-09-28T12:00:00"
2464,"33.81495,-117.410128,2013-09-29T12:00:00"
2465,"33.81495,-117.410128,2013-09-30T12:00:00"
2466,"33.81495,-117.410128,2013-10-01T12:00:00"
2467,"33.81495,-117.410128,2013-10-02T12:00:00"
2468,"33.81495,-117.410128,2013-10-03T12:00:00"
2469,"33.81495,-117.410128,2013-10-04T12:00:00"
2470,"33.81495,-117.410128,2013-10-05T12:00:00"
2471,"33.81495,-117.410128,2013-10-06T12:00:00"
2472,"33.81495,-117.410128,2013-10-07T12:00:00"
2473,"33.81495,-117.410128,2013-10-08T12:00:00"
2474,"33.81495,-117.410128,2013-10-09T12:00:00"
2475,"33.81495,-117.410128,2013-10-10T12:00:00"
2476,"33.81495,-117.410128,2013-10-11T12:00:00"
2477,"33.81495,-117.410128,2013-10-12T12:00:00"
2478,"33.81495,-117.410128,2013-10-13T12:00:00"
2479,"33.81495,-117.410128,2013-10-14T12:00:00"
2480,"33.81495,-117.410128,2013-10-15T12:00:00"
2481,"33.81495,-117.410128,2013-10-16T12:00:00"
2482,"33.81495,-117.410128,2013-10-17T12:00:00"
2483,"33.81495,-117.410128,2013-10-18T12:00:00"
2484,"33.81495,-117.410128,2013-10-19T12:00:00"
2485,"33.81495,-117.410128,2013-10-20T12:00:00"
2486,"33.81495,-117.410128,2013-10-21T12:00:00"
2487,"33.81495,-117.410128,2013-10-22T12:00:00"
2488,"33.81495,-117.410128,2013-10-23T12:00:00"
2489,"33.81495,-117.410128,2013-10-24T12:00:00"
2490,"33.81495,-117.410128,2013-10-25T12:00:00"
2491,"33.81495,-117.410128,2013-10-26T12:00:00"
2492,"33.81495,-117.410128,2013-10-27T12:00:00"
2493,"33.81495,-117.410128,2013-10-28T12:00:00"
2494,"33.81495,-117.410128,2013-10-29T12:00:00"
2495,"33.81495,-117.410128,2013-10-30T12:00:00"
2496,"33.81495,-117.410128,2013-10-31T12:00:00"
2497,"33.81495,-117.410128,2013-11-01T12:00:00"
2498,"33.81495,-117.410128,2013-11-02T12:00:00"
2499,"33.81495,-117.410128,2013-11-03T12:00:00"
2500,"33.81495,-117.410128,2013-11-04T12:00:00"
2501,"33.81495,-117.410128,2013-11-05T12:00:00"
2502,"33.81495,-117.410128,2013-11-06T12:00:00"
2503,"33.81495,-117.410128,2013-11-07T12:00:00"
2504,"33.81495,-117.410128,2013-11-08T12:00:00"
2505,"33.81495,-117.410128,2013-11-09T12:00:00"
2506,"33.81495,-117.410128,2013-11-10T12:00:00"
2507,"33.81495,-117.410128,2013-11-11T12:00:00"
2508,"33.81495,-117.410128,2013-11-12T12:00:00"
2509,"33.81495,-117.410128,2013-11-13T12:00:00"
2510,"33.81495,-117.410128,2013-11-14T12:00:00"
2511,"33.81495,-117.410128,2013-11-15T12:00:00"
2512,"33.81495,-117.410128,2013-11-16T12:00:00"
2513,"33.81495,-117.410128,2013-11-17T12:00:00"
2514,"33.81495,-117.410128,2013-11-18T12:00:00"
2515,"33.81495,-117.410128,2013-11-19T12:00:00"
2516,"33.81495,-117.410128,2013-11-20T12:00:00"
2517,"33.81495,-117.410128,2013-11-21T12:00:00"
2518,"33.81495,-117.410128,2013-11-22T12:00:00"
2519,"33.81495,-117.410128,2013-11-23T12:00:00"
2520,"33.81495,-117.410128,2013-11-24T12:00:00"
2521,"33.81495,-117.410128,2013-11-25T12:00:00"
2522,"33.81495,-117.410128,2013-11-26T12:00:00"
2523,"33.81495,-117.410128,2013-11-27T12:00:00"
2524,"33.81495,-117.410128,2013-11-28T12:00:00"
2525,"33.81495,-117.410128,2013-11-29T12:00:00"
2526,"33.81495,-117.410128,2013-11-30T12:00:00"
2527,"33.81495,-117.410128,2013-12-01T12:00:00"
2528,"33.81495,-117.410128,2013-12-02T12:00:00"
2529,"33.81495,-117.410128,2013-12-03T12:00:00"
2530,"33.81495,-117.410128,2013-12-04T12:00:00"
2531,"33.81495,-117.410128,2013-12-05T12:00:00"
2532,"33.81495,-117.410128,2013-12-06T12:00:00"
2533,"33.81495,-117.410128,2013-12-07T12:00:00"
2534,"33.81495,-117.410128,2013-12-08T12:00:00"
2535,"33.81495,-117.410128,2013-12-09T12:00:00"
2536,"33.81495,-117.410128,2013-12-10T12:00:00"
2537,"33.81495,-117.410128,2013-12-11T12:00:00"
2538,"33.81495,-117.410128,2013-12-12T12:00:00"
2539,"33.81495,-117.410128,2013-12-13T12:00:00"
2540,"33.81495,-117.410128,2013-12-14T12:00:00"
2541,"33.81495,-117.410128,2013-12-15T12:00:00"
2542,"33.81495,-117.410128,2013-12-16T12:00:00"
2543,"33.81495,-117.410128,2013-12-17T12:00:00"
2544,"33.81495,-117.410128,2013-12-18T12:00:00"
2545,"33.81495,-117.410128,2013-12-19T12:00:00"
2546,"33.81495,-117.410128,2013-12-20T12:00:00"
2547,"33.81495,-117.410128,2013-12-21T12:00:00"
2548,"33.81495,-117.410128,2013-12-22T12:00:00"
2549,"33.81495,-117.410128,2013-12-23T12:00:00"
2550,"33.81495,-117.410128,2013-12-24T12:00:00"
2551,"33.81495,-117.410128,2013-12-25T12:00:00"
2552,"33.81495,-117.410128,2013-12-26T12:00:00"
2553,"33.81495,-117.410128,2013-12-27T12:00:00"
2554,"33.81495,-117.410128,2013-12-28T12:00:00"
2555,"33.81495,-117.410128,2013-12-29T12:00:00"
2556,"33.81495,-117.410128,2013-12-30T12:00:00"
2557,"33.81495,-117.410128,2013-12-31T12:00:00"
2558,"33.81495,-117.410128,2014-01-01T12:00:00"
2559,"33.81495,-117.410128,2014-01-02T12:00:00"
2560,"33.81495,-117.410128,2014-01-03T12:00:00"
2561,"33.81495,-117.410128,2014-01-04T12:00:00"
2562,"33.81495,-117.410128,2014-01-05T12:00:00"
2563,"33.81495,-117.410128,2014-01-06T12:00:00"
2564,"33.81495,-117.410128,2014-01-07T12:00:00"
2565,"33.81495,-117.410128,2014-01-08T12:00:00"
2566,"33.81495,-117.410128,2014-01-09T12:00:00"
2567,"33.81495,-117.410128,2014-01-10T12:00:00"
2568,"33.81495,-117.410128,2014-01-11T12:00:00"
2569,"33.81495,-117.410128,2014-01-12T12:00:00"
2570,"33.81495,-117.410128,2014-01-13T12:00:00"
2571,"33.81495,-117.410128,2014-01-14T12:00:00"
2572,"33.81495,-117.410128,2014-01-15T12:00:00"
2573,"33.81495,-117.410128,2014-01-16T12:00:00"
2574,"33.81495,-117.410128,2014-01-17T12:00:00"
2575,"33.81495,-117.410128,2014-01-18T12:00:00"
2576,"33.81495,-117.410128,2014-01-19T12:00:00"
2577,"33.81495,-117.410128,2014-01-20T12:00:00"
2578,"33.81495,-117.410128,2014-01-21T12:00:00"
2579,"33.81495,-117.410128,2014-01-22T12:00:00"
2580,"33.81495,-117.410128,2014-01-23T12:00:00"
2581,"33.81495,-117.410128,2014-01-24T12:00:00"
2582,"33.81495,-117.410128,2014-01-25T12:00:00"
2583,"33.81495,-117.410128,2014-01-26T12:00:00"
2584,"33.81495,-117.410128,2014-01-27T12:00:00"
2585,"33.81495,-117.410128,2014-01-28T12:00:00"
2586,"33.81495,-117.410128,2014-01-29T12:00:00"
2587,"33.81495,-117.410128,2014-01-30T12:00:00"
2588,"33.81495,-117.410128,2014-01-31T12:00:00"
2589,"33.81495,-117.410128,2014-02-01T12:00:00"
2590,"33.81495,-117.410128,2014-02-02T12:00:00"
2591,"33.81495,-117.410128,2014-02-03T12:00:00"
2592,"33.81495,-117.410128,2014-02-04T12:00:00"
2593,"33.81495,-117.410128,2014-02-05T12:00:00"
2594,"33.81495,-117.410128,2014-02-06T12:00:00"
2595,"33.81495,-117.410128,2014-02-07T12:00:00"
2596,"33.81495,-117.410128,2014-02-08T12:00:00"
2597,"33.81495,-117.410128,2014-02-09T12:00:00"
2598,"33.81495,-117.410128,2014-02-10T12:00:00"
2599,"33.81495,-117.410128,2014-02-11T12:00:00"
2600,"33.81495,-117.410128,2014-02-12T12:00:00"
2601,"33.81495,-117.410128,2014-02-13T12:00:00"
2602,"33.81495,-117.410128,2014-02-14T12:00:00"
2603,"33.81495,-117.410128,2014-02-15T12:00:00"
2604,"33.81495,-117.410128,2014-02-16T12:00:00"
2605,"33.81495,-117.410128,2014-02-17T12:00:00"
2606,"33.81495,-117.410128,2014-02-18T12:00:00"
2607,"33.81495,-117.410128,2014-02-19T12:00:00"
2608,"33.81495,-117.410128,2014-02-20T12:00:00"
2609,"33.81495,-117.410128,2014-02-21T12:00:00"
2610,"33.81495,-117.410128,2014-02-22T12:00:00"
2611,"33.81495,-117.410128,2014-02-23T12:00:00"
2612,"33.81495,-117.410128,2014-02-24T12:00:00"
2613,"33.81495,-117.410128,2014-02-25T12:00:00"
2614,"33.81495,-117.410128,2014-02-26T12:00:00"
2615,"33.81495,-117.410128,2014-02-27T12:00:00"
2616,"33.81495,-117.410128,2014-02-28T12:00:00"
2617,"33.81495,-117.410128,2014-03-01T12:00:00"
2618,"33.81495,-117.410128,2014-03-02T12:00:00"
2619,"33.81495,-117.410128,2014-03-03T12:00:00"
2620,"33.81495,-117.410128,2014-03-04T12:00:00"
2621,"33.81495,-117.410128,2014-03-05T12:00:00"
2622,"33.81495,-117.410128,2014-03-06T12:00:00"
2623,"33.81495,-117.410128,2014-03-07T12:00:00"
2624,"33.81495,-117.410128,2014-03-08T12:00:00"
2625,"33.81495,-117.410128,2014-03-09T12:00:00"
2626,"33.81495,-117.410128,2014-03-10T12:00:00"
2627,"33.81495,-117.410128,2014-03-11T12:00:00"
2628,"33.81495,-117.410128,2014-03-12T12:00:00"
2629,"33.81495,-117.410128,2014-03-13T12:00:00"
2630,"33.81495,-117.410128,2014-03-14T12:00:00"
2631,"33.81495,-117.410128,2014-03-15T12:00:00"
2632,"33.81495,-117.410128,2014-03-16T12:00:00"
2633,"33.81495,-117.410128,2014-03-17T12:00:00"
2634,"33.81495,-117.410128,2014-03-18T12:00:00"
2635,"33.81495,-117.410128,2014-03-19T12:00:00"
2636,"33.81495,-117.410128,2014-03-20T12:00:00"
2637,"33.81495,-117.410128,2014-03-21T12:00:00"
2638,"33.81495,-117.410128,2014-03-22T12:00:00"
2639,"33.81495,-117.410128,2014-03-23T12:00:00"
2640,"33.81495,-117.410128,2014-03-24T12:00:00"
2641,"33.81495,-117.410128,2014-03-25T12:00:00"
2642,"33.81495,-117.410128,2014-03-26T12:00:00"
2643,"33.81495,-117.410128,2014-03-27T12:00:00"
2644,"33.81495,-117.410128,2014-03-28T12:00:00"
2645,"33.81495,-117.410128,2014-03-29T12:00:00"
2646,"33.81495,-117.410128,2014-03-30T12:00:00"
2647,"33.81495,-117.410128,2014-03-31T12:00:00"
2648,"33.81495,-117.410128,2014-04-01T12:00:00"
2649,"33.81495,-117.410128,2014-04-02T12:00:00"
2650,"33.81495,-117.410128,2014-04-03T12:00:00"
2651,"33.81495,-117.410128,2014-04-04T12:00:00"
2652,"33.81495,-117.410128,2014-04-05T12:00:00"
2653,"33.81495,-117.410128,2014-04-06T12:00:00"
2654,"33.81495,-117.410128,2014-04-07T12:00:00"
2655,"33.81495,-117.410128,2014-04-08T12:00:00"
2656,"33.81495,-117.410128,2014-04-09T12:00:00"
2657,"33.81495,-117.410128,2014-04-10T12:00:00"
2658,"33.81495,-117.410128,2014-04-11T12:00:00"
2659,"33.81495,-117.410128,2014-04-12T12:00:00"
2660,"33.81495,-117.410128,2014-04-13T12:00:00"
2661,"33.81495,-117.410128,2014-04-14T12:00:00"
2662,"33.81495,-117.410128,2014-04-15T12:00:00"
2663,"33.81495,-117.410128,2014-04-16T12:00:00"
2664,"33.81495,-117.410128,2014-04-17T12:00:00"
2665,"33.81495,-117.410128,2014-04-18T12:00:00"
2666,"33.81495,-117.410128,2014-04-19T12:00:00"
2667,"33.81495,-117.410128,2014-04-20T12:00:00"
2668,"33.81495,-117.410128,2014-04-21T12:00:00"
2669,"33.81495,-117.410128,2014-04-22T12:00:00"
2670,"33.81495,-117.410128,2014-04-23T12:00:00"
2671,"33.81495,-117.410128,2014-04-24T12:00:00"
2672,"33.81495,-117.410128,2014-04-25T12:00:00"
2673,"33.81495,-117.410128,2014-04-26T12:00:00"
2674,"33.81495,-117.410128,2014-04-27T12:00:00"
2675,"33.81495,-117.410128,2014-04-28T12:00:00"
2676,"33.81495,-117.410128,2014-04-29T12:00:00"
2677,"33.81495,-117.410128,2014-04-30T12:00:00"
2678,"33.81495,-117.410128,2014-05-01T12:00:00"
2679,"33.81495,-117.410128,2014-05-02T12:00:00"
2680,"33.81495,-117.410128,2014-05-03T12:00:00"
2681,"33.81495,-117.410128,2014-05-04T12:00:00"
2682,"33.81495,-117.410128,2014-05-05T12:00:00"
2683,"33.81495,-117.410128,2014-05-06T12:00:00"
2684,"33.81495,-117.410128,2014-05-07T12:00:00"
2685,"33.81495,-117.410128,2014-05-08T12:00:00"
2686,"33.81495,-117.410128,2014-05-09T12:00:00"
2687,"33.81495,-117.410128,2014-05-10T12:00:00"
2688,"33.81495,-117.410128,2014-05-11T12:00:00"
2689,"33.81495,-117.410128,2014-05-12T12:00:00"
2690,"33.81495,-117.410128,2014-05-13T12:00:00"
2691,"33.81495,-117.410128,2014-05-14T12:00:00"
2692,"33.81495,-117.410128,2014-05-15T12:00:00"
2693,"33.81495,-117.410128,2014-05-16T12:00:00"
2694,"33.81495,-117.410128,2014-05-17T12:00:00"
2695,"33.81495,-117.410128,2014-05-18T12:00:00"
2696,"33.81495,-117.410128,2014-05-19T12:00:00"
2697,"33.81495,-117.410128,2014-05-20T12:00:00"
2698,"33.81495,-117.410128,2014-05-21T12:00:00"
2699,"33.81495,-117.410128,2014-05-22T12:00:00"
2700,"33.81495,-117.410128,2014-05-23T12:00:00"
2701,"33.81495,-117.410128,2014-05-24T12:00:00"
2702,"33.81495,-117.410128,2014-05-25T12:00:00"
2703,"33.81495,-117.410128,2014-05-26T12:00:00"
2704,"33.81495,-117.410128,2014-05-27T12:00:00"
2705,"33.81495,-117.410128,2014-05-28T12:00:00"
2706,"33.81495,-117.410128,2014-05-29T12:00:00"
2707,"33.81495,-117.410128,2014-05-30T12:00:00"
2708,"33.81495,-117.410128,2014-05-31T12:00:00"
