,0
114,"33.772075,-117.301693,2012-04-24T12:00:00"
115,"33.772075,-117.301693,2012-04-25T12:00:00"
116,"33.772075,-117.301693,2012-04-26T12:00:00"
117,"33.772075,-117.301693,2012-04-27T12:00:00"
118,"33.772075,-117.301693,2012-04-28T12:00:00"
119,"33.772075,-117.301693,2012-04-29T12:00:00"
120,"33.772075,-117.301693,2012-04-30T12:00:00"
121,"33.772075,-117.301693,2012-05-01T12:00:00"
122,"33.772075,-117.301693,2012-05-02T12:00:00"
123,"33.772075,-117.301693,2012-05-03T12:00:00"
124,"33.772075,-117.301693,2012-05-04T12:00:00"
125,"33.772075,-117.301693,2012-05-05T12:00:00"
126,"33.772075,-117.301693,2012-05-06T12:00:00"
127,"33.772075,-117.301693,2012-05-07T12:00:00"
128,"33.772075,-117.301693,2012-05-08T12:00:00"
129,"33.772075,-117.301693,2012-05-09T12:00:00"
130,"33.772075,-117.301693,2012-05-10T12:00:00"
131,"33.772075,-117.301693,2012-05-11T12:00:00"
132,"33.772075,-117.301693,2012-05-12T12:00:00"
133,"33.772075,-117.301693,2012-05-13T12:00:00"
134,"33.772075,-117.301693,2012-05-14T12:00:00"
135,"33.772075,-117.301693,2012-05-15T12:00:00"
136,"33.772075,-117.301693,2012-05-16T12:00:00"
137,"33.772075,-117.301693,2012-05-17T12:00:00"
138,"33.772075,-117.301693,2012-05-18T12:00:00"
139,"33.772075,-117.301693,2012-05-19T12:00:00"
140,"33.772075,-117.301693,2012-05-20T12:00:00"
141,"33.772075,-117.301693,2012-05-21T12:00:00"
142,"33.772075,-117.301693,2012-05-22T12:00:00"
143,"33.772075,-117.301693,2012-05-23T12:00:00"
144,"33.772075,-117.301693,2012-05-24T12:00:00"
145,"33.772075,-117.301693,2012-05-25T12:00:00"
146,"33.772075,-117.301693,2012-05-26T12:00:00"
147,"33.772075,-117.301693,2012-05-27T12:00:00"
148,"33.772075,-117.301693,2012-05-28T12:00:00"
149,"33.772075,-117.301693,2012-05-29T12:00:00"
150,"33.772075,-117.301693,2012-05-30T12:00:00"
151,"33.772075,-117.301693,2012-05-31T12:00:00"
152,"33.772075,-117.301693,2012-06-01T12:00:00"
153,"33.772075,-117.301693,2012-06-02T12:00:00"
154,"33.772075,-117.301693,2012-06-03T12:00:00"
155,"33.772075,-117.301693,2012-06-04T12:00:00"
156,"33.772075,-117.301693,2012-06-05T12:00:00"
157,"33.772075,-117.301693,2012-06-06T12:00:00"
158,"33.772075,-117.301693,2012-06-07T12:00:00"
159,"33.772075,-117.301693,2012-06-08T12:00:00"
160,"33.772075,-117.301693,2012-06-09T12:00:00"
161,"33.772075,-117.301693,2012-06-10T12:00:00"
162,"33.772075,-117.301693,2012-06-11T12:00:00"
163,"33.772075,-117.301693,2012-06-12T12:00:00"
164,"33.772075,-117.301693,2012-06-13T12:00:00"
165,"33.772075,-117.301693,2012-06-14T12:00:00"
166,"33.772075,-117.301693,2012-06-15T12:00:00"
167,"33.772075,-117.301693,2012-06-16T12:00:00"
168,"33.772075,-117.301693,2012-06-17T12:00:00"
169,"33.772075,-117.301693,2012-06-18T12:00:00"
170,"33.772075,-117.301693,2012-06-19T12:00:00"
171,"33.772075,-117.301693,2012-06-20T12:00:00"
172,"33.772075,-117.301693,2012-06-21T12:00:00"
173,"33.772075,-117.301693,2012-06-22T12:00:00"
174,"33.772075,-117.301693,2012-06-23T12:00:00"
175,"33.772075,-117.301693,2012-06-24T12:00:00"
176,"33.772075,-117.301693,2012-06-25T12:00:00"
177,"33.772075,-117.301693,2012-06-26T12:00:00"
178,"33.772075,-117.301693,2012-06-27T12:00:00"
179,"33.772075,-117.301693,2012-06-28T12:00:00"
180,"33.772075,-117.301693,2012-06-29T12:00:00"
181,"33.772075,-117.301693,2012-06-30T12:00:00"
182,"33.772075,-117.301693,2012-07-01T12:00:00"
183,"33.772075,-117.301693,2012-07-02T12:00:00"
184,"33.772075,-117.301693,2012-07-03T12:00:00"
185,"33.772075,-117.301693,2012-07-04T12:00:00"
186,"33.772075,-117.301693,2012-07-05T12:00:00"
187,"33.772075,-117.301693,2012-07-06T12:00:00"
188,"33.772075,-117.301693,2012-07-07T12:00:00"
189,"33.772075,-117.301693,2012-07-08T12:00:00"
190,"33.772075,-117.301693,2012-07-09T12:00:00"
191,"33.772075,-117.301693,2012-07-10T12:00:00"
192,"33.772075,-117.301693,2012-07-11T12:00:00"
193,"33.772075,-117.301693,2012-07-12T12:00:00"
194,"33.772075,-117.301693,2012-07-13T12:00:00"
195,"33.772075,-117.301693,2012-07-14T12:00:00"
196,"33.772075,-117.301693,2012-07-15T12:00:00"
197,"33.772075,-117.301693,2012-07-16T12:00:00"
198,"33.772075,-117.301693,2012-07-17T12:00:00"
199,"33.772075,-117.301693,2012-07-18T12:00:00"
200,"33.772075,-117.301693,2012-07-19T12:00:00"
201,"33.772075,-117.301693,2012-07-20T12:00:00"
202,"33.772075,-117.301693,2012-07-21T12:00:00"
203,"33.772075,-117.301693,2012-07-22T12:00:00"
204,"33.772075,-117.301693,2012-07-23T12:00:00"
205,"33.772075,-117.301693,2012-07-24T12:00:00"
206,"33.772075,-117.301693,2012-07-25T12:00:00"
207,"33.772075,-117.301693,2012-07-26T12:00:00"
208,"33.772075,-117.301693,2012-07-27T12:00:00"
209,"33.772075,-117.301693,2012-07-28T12:00:00"
210,"33.772075,-117.301693,2012-07-29T12:00:00"
211,"33.772075,-117.301693,2012-07-30T12:00:00"
212,"33.772075,-117.301693,2012-07-31T12:00:00"
213,"33.772075,-117.301693,2012-08-01T12:00:00"
214,"33.772075,-117.301693,2012-08-02T12:00:00"
215,"33.772075,-117.301693,2012-08-03T12:00:00"
216,"33.772075,-117.301693,2012-08-04T12:00:00"
217,"33.772075,-117.301693,2012-08-05T12:00:00"
218,"33.772075,-117.301693,2012-08-06T12:00:00"
219,"33.772075,-117.301693,2012-08-07T12:00:00"
220,"33.772075,-117.301693,2012-08-08T12:00:00"
221,"33.772075,-117.301693,2012-08-09T12:00:00"
222,"33.772075,-117.301693,2012-08-10T12:00:00"
223,"33.772075,-117.301693,2012-08-11T12:00:00"
224,"33.772075,-117.301693,2012-08-12T12:00:00"
225,"33.772075,-117.301693,2012-08-13T12:00:00"
226,"33.772075,-117.301693,2012-08-14T12:00:00"
227,"33.772075,-117.301693,2012-08-15T12:00:00"
228,"33.772075,-117.301693,2012-08-16T12:00:00"
229,"33.772075,-117.301693,2012-08-17T12:00:00"
230,"33.772075,-117.301693,2012-08-18T12:00:00"
231,"33.772075,-117.301693,2012-08-19T12:00:00"
232,"33.772075,-117.301693,2012-08-20T12:00:00"
233,"33.772075,-117.301693,2012-08-21T12:00:00"
234,"33.772075,-117.301693,2012-08-22T12:00:00"
235,"33.772075,-117.301693,2012-08-23T12:00:00"
236,"33.772075,-117.301693,2012-08-24T12:00:00"
237,"33.772075,-117.301693,2012-08-25T12:00:00"
238,"33.772075,-117.301693,2012-08-26T12:00:00"
239,"33.772075,-117.301693,2012-08-27T12:00:00"
240,"33.772075,-117.301693,2012-08-28T12:00:00"
241,"33.772075,-117.301693,2012-08-29T12:00:00"
242,"33.772075,-117.301693,2012-08-30T12:00:00"
243,"33.772075,-117.301693,2012-08-31T12:00:00"
244,"33.772075,-117.301693,2012-09-01T12:00:00"
245,"33.772075,-117.301693,2012-09-02T12:00:00"
246,"33.772075,-117.301693,2012-09-03T12:00:00"
247,"33.772075,-117.301693,2012-09-04T12:00:00"
248,"33.772075,-117.301693,2012-09-05T12:00:00"
249,"33.772075,-117.301693,2012-09-06T12:00:00"
250,"33.772075,-117.301693,2012-09-07T12:00:00"
251,"33.772075,-117.301693,2012-09-08T12:00:00"
252,"33.772075,-117.301693,2012-09-09T12:00:00"
253,"33.772075,-117.301693,2012-09-10T12:00:00"
254,"33.772075,-117.301693,2012-09-11T12:00:00"
255,"33.772075,-117.301693,2012-09-12T12:00:00"
256,"33.772075,-117.301693,2012-09-13T12:00:00"
257,"33.772075,-117.301693,2012-09-14T12:00:00"
258,"33.772075,-117.301693,2012-09-15T12:00:00"
259,"33.772075,-117.301693,2012-09-16T12:00:00"
260,"33.772075,-117.301693,2012-09-17T12:00:00"
261,"33.772075,-117.301693,2012-09-18T12:00:00"
262,"33.772075,-117.301693,2012-09-19T12:00:00"
263,"33.772075,-117.301693,2012-09-20T12:00:00"
264,"33.772075,-117.301693,2012-09-21T12:00:00"
265,"33.772075,-117.301693,2012-09-22T12:00:00"
266,"33.772075,-117.301693,2012-09-23T12:00:00"
267,"33.772075,-117.301693,2012-09-24T12:00:00"
268,"33.772075,-117.301693,2012-09-25T12:00:00"
269,"33.772075,-117.301693,2012-09-26T12:00:00"
