,index,latlngtime,areacode,tggl,weather
30000,30000,"33.970143,-117.567584,2014-02-07T12:00:00",17,7/2/2014,Clear throughout the day.
30001,30001,"33.970143,-117.567584,2014-02-08T12:00:00",17,8/2/2014,Clear throughout the day.
30002,30002,"33.970143,-117.567584,2014-02-09T12:00:00",17,9/2/2014,Clear throughout the day.
30003,30003,"33.970143,-117.567584,2014-02-10T12:00:00",17,10/2/2014,Clear throughout the day.
30004,30004,"33.970143,-117.567584,2014-02-11T12:00:00",17,11/2/2014,Clear throughout the day.
30005,30005,"33.970143,-117.567584,2014-02-12T12:00:00",17,12/2/2014,Clear throughout the day.
30006,30006,"33.970143,-117.567584,2014-02-13T12:00:00",17,13/2/2014,Clear throughout the day.
30007,30007,"33.970143,-117.567584,2014-02-14T12:00:00",17,14/2/2014,Clear throughout the day.
30008,30008,"33.970143,-117.567584,2014-02-15T12:00:00",17,15/2/2014,Clear throughout the day.
30009,30009,"33.970143,-117.567584,2014-02-16T12:00:00",17,16/2/2014,Clear throughout the day.
30010,30010,"33.970143,-117.567584,2014-02-17T12:00:00",17,17/2/2014,Clear throughout the day.
30011,30011,"33.970143,-117.567584,2014-02-18T12:00:00",17,18/2/2014,Clear throughout the day.
30012,30012,"33.970143,-117.567584,2014-02-19T12:00:00",17,19/2/2014,Foggy in the morning.
30013,30013,"33.970143,-117.567584,2014-02-20T12:00:00",17,20/2/2014,Clear throughout the day.
30014,30014,"33.970143,-117.567584,2014-02-21T12:00:00",17,21/2/2014,Clear throughout the day.
30015,30015,"33.970143,-117.567584,2014-02-22T12:00:00",17,22/2/2014,Clear throughout the day.
30016,30016,"33.970143,-117.567584,2014-02-23T12:00:00",17,23/2/2014,Clear throughout the day.
30017,30017,"33.970143,-117.567584,2014-02-24T12:00:00",17,24/2/2014,Clear throughout the day.
30018,30018,"33.970143,-117.567584,2014-02-25T12:00:00",17,25/2/2014,Clear throughout the day.
30019,30019,"33.970143,-117.567584,2014-02-26T12:00:00",17,26/2/2014,Light rain overnight.
30020,30020,"33.970143,-117.567584,2014-02-27T12:00:00",17,27/2/2014,Light rain in the morning.
30021,30021,"33.970143,-117.567584,2014-02-28T12:00:00",17,28/2/2014,Rain throughout the day.
30022,30022,"33.970143,-117.567584,2014-03-01T12:00:00",17,1/3/2014,Rain in the morning and afternoon.
30023,30023,"33.970143,-117.567584,2014-03-02T12:00:00",17,2/3/2014,Clear throughout the day.
30024,30024,"33.970143,-117.567584,2014-03-03T12:00:00",17,3/3/2014,Clear throughout the day.
