,index,latlngtime,areacode,tggl,weather
23160,23160,"33.835541,-117.664297,2015-05-21T12:00:00",13,21/5/2015,Partly cloudy in the morning.
23161,23161,"33.835541,-117.664297,2015-05-22T12:00:00",13,22/5/2015,Partly cloudy in the morning.
23162,23162,"33.835541,-117.664297,2015-05-23T12:00:00",13,23/5/2015,Partly cloudy in the morning.
23163,23163,"33.835541,-117.664297,2015-05-24T12:00:00",13,24/5/2015,Partly cloudy in the morning.
23164,23164,"33.835541,-117.664297,2015-05-25T12:00:00",13,25/5/2015,Partly cloudy in the morning.
23165,23165,"33.835541,-117.664297,2015-05-26T12:00:00",13,26/5/2015,Partly cloudy until afternoon.
23166,23166,"33.835541,-117.664297,2015-05-27T12:00:00",13,27/5/2015,Mostly cloudy in the morning.
23167,23167,"33.835541,-117.664297,2015-05-28T12:00:00",13,28/5/2015,Clear throughout the day.
23168,23168,"33.835541,-117.664297,2015-05-29T12:00:00",13,29/5/2015,Clear throughout the day.
23169,23169,"33.835541,-117.664297,2015-05-30T12:00:00",13,30/5/2015,Clear throughout the day.
23170,23170,"33.835541,-117.664297,2015-05-31T12:00:00",13,31/5/2015,Clear throughout the day.
23171,23171,"33.835541,-117.664297,2015-06-01T12:00:00",13,1/6/2015,Partly cloudy in the morning.
23172,23172,"33.835541,-117.664297,2015-06-02T12:00:00",13,2/6/2015,Clear throughout the day.
23173,23173,"33.835541,-117.664297,2015-06-03T12:00:00",13,3/6/2015,Partly cloudy overnight.
23174,23174,"33.835541,-117.664297,2015-06-04T12:00:00",13,4/6/2015,Partly cloudy in the afternoon.
23175,23175,"33.835541,-117.664297,2015-06-05T12:00:00",13,5/6/2015,Partly cloudy until afternoon.
23176,23176,"33.835541,-117.664297,2015-06-06T12:00:00",13,6/6/2015,Partly cloudy until afternoon.
23177,23177,"33.835541,-117.664297,2015-06-07T12:00:00",13,7/6/2015,Clear throughout the day.
23178,23178,"33.835541,-117.664297,2015-06-08T12:00:00",13,8/6/2015,Dry throughout the day.
23179,23179,"33.835541,-117.664297,2015-06-09T12:00:00",13,9/6/2015,"Partly cloudy starting in the afternoon, continuing until evening."
23180,23180,"33.835541,-117.664297,2015-06-10T12:00:00",13,10/6/2015,Partly cloudy until afternoon.
23181,23181,"33.835541,-117.664297,2015-06-11T12:00:00",13,11/6/2015,Partly cloudy until afternoon.
23182,23182,"33.835541,-117.664297,2015-06-12T12:00:00",13,12/6/2015,Partly cloudy until afternoon.
